"diamondType","diamondShape","diamondCarat","diamondColor","diamondClarity","diamondPolish","diamondSymmetry","diamondFluorescence","diamondTable","diamondDepth","diamondX","diamondY","diamondZ","diamondCertification","diamondPrice"
"Natural","Emerald","0.5","E","VS2","Excellent","Very Good","None",0.65,0.69,5.25,3.74,2.58,"GIA","1294.00"
"Natural","Emerald","0.5","D","VS1","Excellent","Very Good","None",0.63,0.634,5.44,3.88,2.46,"GIA","1479.00"
"Natural","Emerald","0.5","G","VS2","Excellent","Very Good","None",0.65,0.698,5.12,3.72,2.6,"GIA","1094.00"
"Natural","Emerald","0.5","F","VS1","Excellent","Excellent","Faint",0.63,0.654,5.52,3.72,2.44,"GIA","1316.00"
"Natural","Emerald","0.5","E","VS1","Very Good","Excellent","None",0.65,0.689,5.2,3.74,2.57,"GIA","1362.00"
"Natural","Emerald","0.5","I","VVS1","Excellent","Very Good","None",0.65,0.688,5.27,3.78,2.6,"GIA","1032.00"
"Natural","Emerald","0.5","J","VVS2","Excellent","Excellent","None",0.67,0.67,5.37,3.83,2.56,"GIA","924.00"
"Natural","Emerald","0.5","G","SI1","Excellent","Very Good","None",0.62,0.681,5.41,3.72,2.54,"GIA","1127.00"
"Natural","Princess","0.5","H","VS2","Excellent","Excellent","None",0.74,0.71,4.39,4.35,3.09,"GIA","1149.00"
"Natural","Marquise","0.5","D","VVS1","Excellent","Excellent","Strong",0.59,0.592,7.84,4.23,2.51,"GIA","1396.00"
"Natural","Marquise","0.5","G","VS2","Excellent","Very Good","Faint",0.63,0.586,7.93,4.28,2.51,"GIA","1416.00"
"Natural","Oval","0.5","E","VS2","Excellent","Very Good","None",0.6,0.568,6.5,4.63,2.63,"GIA","1386.00"
"Natural","Oval","0.5","D","VS2","Excellent","Very Good","None",0.57,0.639,5.97,4.42,2.82,"GIA","1386.00"
"Natural","Oval","0.5","G","VS2","Excellent","Very Good","None",0.63,0.616,6.24,4.61,2.84,"GIA","1309.00"
"Natural","Oval","0.5","G","FL/IF","Excellent","Excellent","None",0.6,0.589,6.91,4.43,2.61,"GIA","1558.00"
"Natural","Oval","0.5","H","VVS1","Excellent","Excellent","None",0.58,0.633,6.08,4.49,2.84,"GIA","1248.00"
"Natural","Oval","0.5","D","VS2","Excellent","Very Good","None",0.58,0.632,6.35,4.35,2.75,"GIA","1485.00"
"Natural","Oval","0.5","F","VS2","Excellent","Very Good","None",0.62,0.603,6.75,4.4,2.66,"GIA","1404.00"
"Natural","Heart","0.5","G","SI1","Excellent","Excellent","None",0.62,0.573,4.9,5.49,3.15,"GIA","1075.00"
"Natural","Oval","0.5","D","VS2","Excellent","Very Good","None",0.59,0.582,6.79,4.49,2.61,"GIA","1510.00"
"Natural","Heart","0.5","E","VVS2","Excellent","Excellent","None",0.62,0.607,4.68,5.49,3.33,"GIA","1901.00"
"Natural","Heart","0.5","D","VVS1","Excellent","Very Good","None",0.6,0.603,4.84,5.38,3.24,"GIA","2109.00"
"Natural","Heart","0.5","G","VS1","Excellent","Excellent","None",0.61,0.576,4.74,5.53,3.19,"GIA","1515.00"
"Natural","Heart","0.5","I","VVS2","Excellent","Excellent","None",0.6,0.605,4.87,5.38,3.26,"GIA","1367.00"
"Natural","Pear","0.5","G","VS1","Excellent","Very Good","Faint",0.6,0.635,7.06,4.29,2.73,"GIA","1226.00"
"Natural","Pear","0.5","D","SI1","Excellent","Very Good","None",0.59,0.564,7.03,4.53,2.56,"GIA","1197.00"
"Natural","Pear","0.5","D","VS1","Excellent","Very Good","Faint",0.61,0.627,7.1,4.43,2.78,"GIA","1426.00"
"Natural","Pear","0.5","D","VVS2","Excellent","Excellent","None",0.61,0.599,7.26,4.42,2.65,"GIA","1796.00"
"Natural","Pear","0.5","D","VS2","Excellent","Excellent","None",0.61,0.631,6.77,4.38,2.76,"GIA","1609.00"
"Natural","Pear","0.5","E","VS1","Excellent","Very Good","None",0.63,0.635,6.74,4.43,2.81,"GIA","1436.00"
"Natural","Pear","0.5","G","VVS2","Very Good","Very Good","None",0.58,0.567,7.64,4.45,2.52,"GIA","1433.00"
"Natural","Round","0.5","D","VVS2","Excellent","Excellent","None",0.59,0.597,5.17,5.19,3.09,"GIA","2235.00"
"Natural","Round","0.5","I","VVS1","Excellent","Excellent","None",0.59,0.602,5.15,5.19,3.11,"GIA","1506.00"
"Natural","Round","0.5","J","SI1","Excellent","Excellent","None",0.58,0.626,5.04,5.08,3.17,"GIA","885.00"
"Natural","Emerald","0.5","F","VS2","Excellent","Very Good","None",0.68,0.563,6.17,3.84,2.16,"GIA","1501.00"
"Natural","Round","0.5","G","VVS2","Excellent","Excellent","None",0.59,0.607,5.11,5.14,3.11,"GIA","1747.00"
"Natural","Round","0.5","D","SI1","Excellent","Excellent","None",0.55,0.627,5.06,5.08,3.18,"GIA","1547.00"
"Natural","Round","0.5","D","FL/IF","Excellent","Excellent","None",0.61,0.592,5.2,5.23,3.08,"GIA","3432.00"
"Natural","Emerald","0.5","I","VS1","Excellent","Very Good","None",0.64,0.672,5.54,3.73,2.51,"GIA","1044.00"
"Natural","Emerald","0.5","G","VS2","Excellent","Very Good","None",0.65,0.688,5.35,3.69,2.54,"GIA","1223.00"
"Natural","Emerald","0.5","D","VS1","Excellent","Very Good","None",0.61,0.69,5.38,3.64,2.52,"GIA","1532.00"
"Natural","Emerald","0.5","G","SI1","Excellent","Very Good","None",0.64,0.688,5.57,3.62,2.49,"GIA","1109.00"
"Natural","Emerald","0.5","H","SI1","Excellent","Very Good","None",0.66,0.682,5.35,3.76,2.57,"GIA","957.00"
"Natural","Emerald","0.5","E","VS2","Excellent","Excellent","None",0.63,0.674,5.48,3.7,2.5,"GIA","1433.00"
"Natural","Emerald","0.5","J","VS1","Excellent","Very Good","Faint",0.64,0.678,5.56,3.68,2.5,"GIA","925.00"
"Natural","Emerald","0.5","D","VS1","Excellent","Good","None",0.61,0.689,5.16,3.73,2.57,"GIA","1347.00"
"Natural","Emerald","0.5","E","VS1","Excellent","Very Good","None",0.67,0.643,5.48,3.82,2.45,"GIA","1386.00"
"Natural","Emerald","0.5","G","SI1","Excellent","Very Good","None",0.64,0.679,5.49,3.7,2.51,"GIA","1057.00"
"Natural","Emerald","0.5","E","VS2","Excellent","Very Good","None",0.61,0.67,5.32,3.81,2.56,"GIA","1317.00"
"Natural","Emerald","0.5","E","VVS2","Excellent","Excellent","Faint",0.64,0.69,5.26,3.73,2.57,"GIA","1400.00"
"Natural","Emerald","0.5","F","SI1","Very Good","Very Good","None",0.67,0.68,5.24,3.76,2.56,"GIA","1017.00"
"Natural","Princess","0.5","E","VS2","Excellent","Excellent","None",0.75,0.711,4.52,4.4,3.13,"GIA","1155.00"
"Natural","Marquise","0.5","D","VVS2","Excellent","Very Good","None",0.6,0.594,8.24,4.26,2.53,"GIA","2020.00"
"Natural","Marquise","0.5","D","VS2","Excellent","Excellent","None",0.6,0.617,8.4,4.11,2.54,"GIA","1659.00"
"Natural","Marquise","0.5","D","VS2","Excellent","Very Good","Faint",0.6,0.614,8.18,4.18,2.57,"GIA","1510.00"
"Natural","Marquise","0.5","D","VS2","Excellent","Very Good","None",0.61,0.589,8.38,4.18,2.46,"GIA","1609.00"
"Natural","Marquise","0.5","F","VVS2","Excellent","Excellent","None",0.61,0.642,7.65,4.12,2.64,"GIA","1857.00"
"Natural","Marquise","0.5","G","VS1","Very Good","Very Good","Faint",0.64,0.612,7.95,4.26,2.6,"GIA","1315.00"
"Natural","Oval","0.5","D","VVS2","Excellent","Excellent","None",0.59,0.616,6.14,4.54,2.79,"GIA","1599.00"
"Natural","Oval","0.5","G","SI1","Excellent","Very Good","None",0.62,0.602,6.56,4.37,2.63,"GIA","1161.00"
"Natural","Oval","0.5","F","VS2","Very Good","Very Good","None",0.6,0.621,6.07,4.49,2.79,"GIA","1248.00"
"Natural","Oval","0.5","F","SI1","Excellent","Very Good","None",0.59,0.627,6.11,4.51,2.83,"GIA","1126.00"
"Natural","Oval","0.5","G","SI1","Very Good","Very Good","None",0.57,0.631,6.17,4.4,2.78,"GIA","1023.00"
"Natural","Oval","0.5","I","VS2","Excellent","Very Good","None",0.62,0.563,6.32,4.67,2.63,"GIA","944.00"
"Natural","Oval","0.5","E","SI1","Excellent","Excellent","None",0.62,0.648,6.05,4.5,2.92,"GIA","1063.00"
"Natural","Heart","0.5","H","VVS1","Excellent","Very Good","None",0.62,0.587,4.91,5.43,3.19,"GIA","1479.00"
"Natural","Heart","0.5","D","VS1","Excellent","Excellent","None",0.6,0.567,4.78,5.56,3.16,"GIA","1769.00"
"Natural","Heart","0.5","K","VS2","Excellent","Very Good","None",0.6,0.548,5.05,5.59,3.06,"GIA","830.00"
"Natural","Heart","0.5","F","VVS2","Excellent","Excellent","None",0.63,0.607,4.66,5.46,3.32,"GIA","1782.00"
"Natural","Heart","0.5","F","VS1","Excellent","Very Good","None",0.6,0.603,4.66,5.46,3.3,"GIA","1627.00"
"Natural","Heart","0.5","H","VS2","Excellent","Very Good","None",0.61,0.603,4.74,5.42,3.27,"GIA","1307.00"
